Nom de la Villa,Localisation,"Type (F3, F5, etc.)",Capacité (personnes),Tarif,Options/Services,Description
Villa F3 sur Petit Macabou,"Petit Macabou, Vauclin",F3,6 personnes ( jusqu'à 15 personnes en journée ),"Grandes Vacances: 1550€/semaine, Weekend: 850€ (2 nuits), Noël/Nouvel An: 1690€/semaine","Chambres climatisées, 1 salle de bain avec WC, WC indépendant, salon climatisé avec canapé-lit, sauna, jacuzzi, 2 douches extérieures","Villa avec possibilité d'accueillir 9 invités supplémentaires en journée (9h-20h). Caution: 1500€. Check-in: 16h, Check-out: 11h (possibilité extension jusqu'à 16h selon disponibilité)."
Villa F3 POUR LA BACCHA,Petit Macabou,F3,6 personnes,"Août: 1350€/semaine, Juillet: complet","2 chambres climatisées, salon climatisé avec canapé-lit",Possibilité d’accueillir jusqu’à 9 invités entre 9h et 18h. Caution: 1500€ par chèque. Règles strictes concernant le bruit pour respecter le voisinage.
Villa F3 sur le François,Hauteurs du Morne Carrière au François,F3,4 personnes (maximum 10 invités),"Weekend: 800€ (2 nuits), Semaine: 1376€ (7 jours)","Stationnement pour 5 véhicules, enceintes JBL autorisées","Caution: 1000€ (850€ par chèque et 150€ en espèces). Check-in: 16h, Check-out: 11h (option late check-out: +80€). Frais de 50€ par 30 minutes de retard pour la remise des clés. Villa à rendre propre et rangée."
Villa F5 sur Ste Anne,"Quartier les Anglais, Ste Anne",F5,10 personnes ( jusqu’à 15 personnes en journée ),"Weekend: 1350€ (2 nuits, hors vacances scolaires), Semaine: 2251€ (7 jours)","4 chambres, 4 salles de bain",Possibilité d’accueillir jusqu’à 15 invités de 9h à 19h. Caution: 500€ en espèces + 1500€ en empreinte CB. Facilités de paiement sans frais supplémentaires avec paiement total avant entrée.
Villa F6 au Lamentin,"Quartier Béleme, Lamentin",F6,10 personnes (jusqu’à 20 invités en journée),"Weekend: 1500€ (vendredi-dimanche), Weekend 2 nuits: 1200€ (sans invités), Semaine: 2800€ (8 jours), +300€ si fête","Piscine, jacuzzi","Fêtes autorisées de 10h à 19h. Disponibilité vacances: du 1er au 10 juillet et du 25 au 31 août. Check-in: 15h, check-out: 18h. Pénalité retard clés: 150€/30min. Caution: 1000€ (empreinte bancaire). Covoiturage obligatoire."
Villa F6 sur Ste Luce à 1mn de la plage,"Zac de Pont Café, Ste Luce, à 1mn de la plage Corps de garde",F6,10 à 14 personnes,"Weekend: 1700€, Semaine (8 jours): 2200€ à 2850€","5 appartements (2 F2 duplex et 3 F2), dont un en sous-sol","Check-in: 17h, Check-out: 11h. Caution: 1500€ par chèque + 500€ en espèces (remboursables). Location uniquement à la semaine pendant les vacances scolaires. Facilités de paiement sans frais supplémentaires (tout doit être payé avant l’entrée)."
Villa F3 Bas de villa Trinité Cosmy,"Cosmy, Trinité",F3 (Bas de villa),5 adultes ou 4 adultes et 2 enfants (jusqu’à 60 invités pour fêtes),"Weekend sans invités: 500€, Weekend + Fête: 670€ (10 invités) à 1400€ (60 invités)","2 chambres climatisées, 1 salle de bain, double terrasse, salon, cuisine américaine, piscine privée chauffée","Villa charmante idéale pour séjours entre amis, famille et événements. Environnement calme et relaxant. Horaires fête: 10h-18h ou 14h-22h (départ des invités à partir de 21h). Location à la semaine pendant vacances scolaires (exceptions possibles). Caution: 200€ en espèces + 400€ par chèque."
Bas de villa F3 sur le Robert,"Pointe Hyacinthe, Le Robert",F3 (Bas de villa),10 personnes,"Weekend: 900€, Weekend avec fête/invités: +550€, Semaine: 1250€ (basse saison), 1500€ (haute saison)","2 chambres climatisées, location à la journée possible (lundi-jeudi), excursion nautique possible",Enceintes JBL autorisées jusqu’à 22h (DJ et gros systèmes sono interdits). Caution: 1500€ pour la villa + caution pour l’espace piscine. Paiement en plusieurs fois sans frais possible (tout doit être soldé avant l’entrée).
Appartement F3 Trenelle (Location Annuelle),"Trenelle, à 2 minutes du PPM",F3 meublé,"Couple sans enfant, personne seule ou 2 colocataires",700€/mois (eau et EDF inclus),"Meublé, eau et électricité incluses",Location à l’année (bail de 12 mois) avec possibilité de louer pour 3 ou 6 mois. Accès au logement: 1550€ (2 mois de caution + 1 mois de loyer hors charges).
Villa F5 Vauclin Ravine Plate,"Hauteurs de Ravine Plate, Vauclin",F5,8 personnes,"Weekend: 1550€ (vendredi-dimanche), Semaine: 2500€ (8 jours)","4 chambres climatisées avec salle d’eau attenante, piscine à débordement","Caution: 1500€ par chèque et 500€ en espèces, remboursée à la sortie si aucun dommage. Paiement en plusieurs fois sans frais possible, solde à régler avant l’entrée."
